adduser	3.118ubuntu5
libpmix-dev:amd64	4.1.2-2ubuntu1
libpmix2:amd64	4.1.2-2ubuntu1
libpng-dev:amd64	1.6.37-3build5
libpng-tools	1.6.37-3build5
libpng16-16:amd64	1.6.37-3build5
libpolkit-agent-1-0:amd64	0.105-33
libpolkit-gobject-1-0:amd64	0.105-33
libpopt0:amd64	1.18-3build1
libprocps8:amd64	2:3.3.17-6ubuntu2.1
libpsl5:amd64	0.21.0-1.2build2
libpsm-infinipath1	3.3+20.604758e7-6.1
libpsm2-2	11.2.185-1
libpthread-stubs0-dev:amd64	0.4-1build2
libpython3-dev:amd64	3.10.6-1~22.04
libpython3-stdlib:amd64	3.10.6-1~22.04
libpython3.10:amd64	3.10.12-1~22.04.3
libpython3.10-dev:amd64	3.10.12-1~22.04.3
libpython3.10-minimal:amd64	3.10.12-1~22.04.3
libpython3.10-stdlib:amd64	3.10.12-1~22.04.3
libqt5core5a:amd64	5.15.3+dfsg-2ubuntu0.2
libqt5dbus5:amd64	5.15.3+dfsg-2ubuntu0.2
libqt5gui5:amd64	5.15.3+dfsg-2ubuntu0.2
libqt5network5:amd64	5.15.3+dfsg-2ubuntu0.2
libqt5printsupport5:amd64	5.15.3+dfsg-2ubuntu0.2
libqt5svg5:amd64	5.15.3-1
libqt5widgets5:amd64	5.15.3+dfsg-2ubuntu0.2
libquadmath0:amd64	12.3.0-1ubuntu1~22.04
librdmacm1:amd64	39.0-1
libreadline8:amd64	8.1.2-1
librhash0:amd64	1.4.2-1ubuntu1
librsvg2-2:amd64	2.52.5+dfsg-3ubuntu0.2
librsvg2-common:amd64	2.52.5+dfsg-3ubuntu0.2
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build4
libsasl2-2:amd64	2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules:amd64	2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules-db:amd64	2.1.27+dfsg2-3ubuntu1.2
libseccomp2:amd64	2.5.3-2ubuntu2
libselinux1:amd64	3.3-1build2
libselinux1-dev:amd64	3.3-1build2
libsemanage-common	3.3-1build2
libsemanage2:amd64	3.3-1build2
libsensors-config	1:3.6.0-7ubuntu1
libsensors5:amd64	1:3.6.0-7ubuntu1
libsepol-dev:amd64	3.3-1build1
libsepol2:amd64	3.3-1build1
libsigsegv2:amd64	2.13-1ubuntu3
libslang2:amd64	2.3.2-5build4
libsm-dev:amd64	2:1.2.3-1build2
libsm6:amd64	2:1.2.3-1build2
libsmartcols1:amd64	2.37.2-4ubuntu3
libsodium23:amd64	1.0.18-1build2
libsource-highlight-common	3.1.9-4.1build2
libsource-highlight4v5	3.1.9-4.1build2
libsqlite3-0:amd64	3.37.2-2ubuntu0.3
libss2:amd64	1.46.5-2ubuntu1.1
libssh-4:amd64	0.9.6-2ubuntu0.22.04.2
libssl-dev:amd64	3.0.2-0ubuntu1.12
libssl3:amd64	3.0.2-0ubuntu1.12
libstdc++-11-dev:amd64	11.4.0-1ubuntu1~22.04
libstdc++6:amd64	12.3.0-1ubuntu1~22.04
libstemmer0d:amd64	2.2.0-1build1
libsystemd0:amd64	249.11-0ubuntu3.11
libtasn1-6:amd64	4.18.0-4build1
libtext-charwidth-perl	0.04-10build3
libtext-iconv-perl	1.7-7build3
libtext-wrapi18n-perl	0.06-9
libthai-data	0.1.29-1build1
libthai-dev:amd64	0.1.29-1build1
libthai0:amd64	0.1.29-1build1
libtie-ixhash-perl	1.23-2.1
libtiff-dev:amd64	4.3.0-6ubuntu0.7
libtiff5:amd64	4.3.0-6ubuntu0.7
libtiffxx5:amd64	4.3.0-6ubuntu0.7
libtimedate-perl	2.3300-2
libtinfo6:amd64	6.3-2ubuntu0.1
libtirpc-common	1.3.2-2ubuntu0.1
libtirpc-dev:amd64	1.3.2-2ubuntu0.1
libtirpc3:amd64	1.3.2-2ubuntu0.1
libtool	2.4.6-15build2
libtry-tiny-perl	0.31-1
libtsan0:amd64	11.4.0-1ubuntu1~22.04
libubsan1:amd64	12.3.0-1ubuntu1~22.04
libuchardet0:amd64	0.0.7-1build2
libucx0:amd64	1.12.1~rc2-1
libudev1:amd64	249.11-0ubuntu3.11
libunistring2:amd64	1.0-1
libunwind8:amd64	1.3.2-2build2.1
liburi-perl	5.10-1
libusb-1.0-0:amd64	2:1.0.25-1ubuntu2
libutempter0:amd64	1.2.1-2build2
libuuid1:amd64	2.37.2-4ubuntu3
libuv1:amd64	1.43.0-1
libvte-2.91-0:amd64	0.68.0-1
libvte-2.91-common	0.68.0-1
libvted-3-0:amd64	3.10.0-1ubuntu1
libvulkan1:amd64	1.3.204.1-2
libwacom-bin	2.2.0-1
libwacom-common	2.2.0-1
libwacom9:amd64	2.2.0-1
libwayland-bin	1.20.0-1ubuntu0.1
libwayland-client0:amd64	1.20.0-1ubuntu0.1
libwayland-cursor0:amd64	1.20.0-1ubuntu0.1
libwayland-dev:amd64	1.20.0-1ubuntu0.1
libwayland-egl1:amd64	1.20.0-1ubuntu0.1
libwayland-server0:amd64	1.20.0-1ubuntu0.1
libwebp7:amd64	1.2.2-2ubuntu0.22.04.2
libwww-perl	6.61-1
libwww-robotrules-perl	6.02-1
libwxbase3.0-0v5:amd64	3.0.5.1+dfsg-4
libwxgtk3.0-gtk3-0v5:amd64	3.0.5.1+dfsg-4
libx11-6:amd64	2:1.7.5-1ubuntu0.3
libx11-data	2:1.7.5-1ubuntu0.3
libx11-dev:amd64	2:1.7.5-1ubuntu0.3
libx11-protocol-perl	0.56-7.1
libx11-xcb1:amd64	2:1.7.5-1ubuntu0.3
libxau-dev:amd64	1:1.0.9-1build5
libxau6:amd64	1:1.0.9-1build5
libxaw7:amd64	2:1.0.14-1
libxaw7-dev:amd64	2:1.0.14-1
libxcb-dri2-0:amd64	1.14-3ubuntu3
libxcb-dri3-0:amd64	1.14-3ubuntu3
libxcb-glx0:amd64	1.14-3ubuntu3
libxcb-icccm4:amd64	0.4.1-1.1build2
libxcb-image0:amd64	0.4.0-2
libxcb-keysyms1:amd64	0.4.0-1build3
libxcb-present0:amd64	1.14-3ubuntu3
libxcb-randr0:amd64	1.14-3ubuntu3
libxcb-render-util0:amd64	0.3.9-1build3
libxcb-render0:amd64	1.14-3ubuntu3
libxcb-render0-dev:amd64	1.14-3ubuntu3
libxcb-shape0:amd64	1.14-3ubuntu3
libxcb-shm0:amd64	1.14-3ubuntu3
libxcb-shm0-dev:amd64	1.14-3ubuntu3
libxcb-sync1:amd64	1.14-3ubuntu3
libxcb-util1:amd64	0.4.0-1build2
libxcb-xfixes0:amd64	1.14-3ubuntu3
libxcb-xinerama0:amd64	1.14-3ubuntu3
libxcb-xinput0:amd64	1.14-3ubuntu3
libxcb-xkb1:amd64	1.14-3ubuntu3
libxcb1:amd64	1.14-3ubuntu3
libxcb1-dev:amd64	1.14-3ubuntu3
libxcomposite-dev:amd64	1:0.4.5-1build2
libxcomposite1:amd64	1:0.4.5-1build2
libxcursor-dev:amd64	1:1.2.0-2build4
libxcursor1:amd64	1:1.2.0-2build4
libxcvt-dev:amd64	0.1.1-3
libxcvt0:amd64	0.1.1-3
libxdamage-dev:amd64	1:1.1.5-2build2
libxdamage1:amd64	1:1.1.5-2build2
libxdmcp-dev:amd64	1:1.1.3-0ubuntu5
libxdmcp6:amd64	1:1.1.3-0ubuntu5
libxext-dev:amd64	2:1.3.4-1build1
libxext6:amd64	2:1.3.4-1build1
libxfixes-dev:amd64	1:6.0.0-1
libxfixes3:amd64	1:6.0.0-1
libxfont-dev	1:2.0.5-1build1
libxfont2:amd64	1:2.0.5-1build1
libxft-dev:amd64	2.3.4-1
libxft2:amd64	2.3.4-1
libxi-dev:amd64	2:1.8-1build1
libxi6:amd64	2:1.8-1build1
libxinerama-dev:amd64	2:1.1.4-3
libxinerama1:amd64	2:1.1.4-3
libxkbcommon-dev:amd64	1.4.0-1
libxkbcommon-x11-0:amd64	1.4.0-1
libxkbcommon0:amd64	1.4.0-1
libxkbfile-dev:amd64	1:1.1.0-1build3
libxkbfile1:amd64	1:1.1.0-1build3
libxml-parser-perl:amd64	2.46-3build1
libxml-twig-perl	1:3.52-1
libxml-xpathengine-perl	0.14-1
libxml2:amd64	2.9.13+dfsg-1ubuntu0.3
libxmlb2:amd64	0.3.6-2build1
libxmu-dev:amd64	2:1.1.3-3
libxmu-headers	2:1.1.3-3
libxmu6:amd64	2:1.1.3-3
libxmuu-dev:amd64	2:1.1.3-3
libxmuu1:amd64	2:1.1.3-3
libxnvctrl0:amd64	510.47.03-0ubuntu1
libxpm-dev:amd64	1:3.5.12-1ubuntu0.22.04.2
libxpm4:amd64	1:3.5.12-1ubuntu0.22.04.2
libxrandr-dev:amd64	2:1.5.2-1build1
libxrandr2:amd64	2:1.5.2-1build1
libxrender-dev:amd64	1:0.9.10-1build4
libxrender1:amd64	1:0.9.10-1build4
libxres-dev:amd64	2:1.2.1-1
libxres1:amd64	2:1.2.1-1
libxshmfence1:amd64	1.3-1build4
libxss-dev:amd64	1:1.2.3-1build2
libxss1:amd64	1:1.2.3-1build2
libxt-dev:amd64	1:1.2.1-1
libxt6:amd64	1:1.2.1-1
libxtables12:amd64	1.8.7-1ubuntu5.1
libxtst-dev:amd64	2:1.2.3-1build4
libxtst6:amd64	2:1.2.3-1build4
libxv-dev:amd64	2:1.0.11-1build2
libxv1:amd64	2:1.0.11-1build2
libxvmc-dev:amd64	2:1.0.12-2build2
libxvmc1:amd64	2:1.0.12-2build2
libxxf86dga-dev:amd64	2:1.1.5-0ubuntu3
libxxf86dga1:amd64	2:1.1.5-0ubuntu3
libxxf86vm-dev:amd64	1:1.1.4-1build3
libxxf86vm1:amd64	1:1.1.4-1build3
libxxhash0:amd64	0.8.1-1
libyaml-0-2:amd64	0.2.2-1build2
libzstd1:amd64	1.4.8+dfsg-3build1
linux-libc-dev:amd64	5.15.0-91.101
locales	2.35-0ubuntu3.6
login	1:4.8.1-2ubuntu2.1
logrotate	3.19.0-1ubuntu1.1
logsave	1.46.5-2ubuntu1.1
lsb-base	11.1.0ubuntu4
lsb-release	11.1.0ubuntu4
lshw	02.19.git.2021.06.19.996aaad9c7-2build1
lsof	4.93.2+dfsg-1.1build2
lto-disabled-list	24
m4	1.4.18-5ubuntu2
make	4.3-4.1build1
man-db	2.10.2-1
manpages	5.10-1ubuntu1
manpages-dev	5.10-1ubuntu1
mawk	1.3.4.20200120-3
media-types	7.0.0
mesa-common-dev:amd64	23.0.4-0ubuntu1~22.04.1
mesa-vulkan-drivers:amd64	23.0.4-0ubuntu1~22.04.1
motd-news-config	12ubuntu4.4
mount	2.37.2-4ubuntu3
mpi-default-bin	1.14
mpi-default-dev	1.14
mtr-tiny	0.95-1
nano	6.2-1
ncurses-base	6.3-2ubuntu0.1
ncurses-bin	6.3-2ubuntu0.1
netbase	6.3
netcat-openbsd	1.218-4ubuntu1
netplan.io	0.106.1-7ubuntu0.22.04.2
networkd-dispatcher	2.1-2ubuntu0.22.04.2
nftables	1.0.2-1ubuntu3
ninja-build	1.10.1-1
ntfs-3g	1:2021.8.22-3ubuntu1.2
ocl-icd-libopencl1:amd64	2.2.14-3
openmpi-bin	4.1.2-2ubuntu1
openmpi-common	4.1.2-2ubuntu1
openssh-client	1:8.9p1-3ubuntu0.6
openssl	3.0.2-0ubuntu1.12
packagekit	1.2.5-2ubuntu2
packagekit-tools	1.2.5-2ubuntu2
pango1.0-tools	1.50.6+ds-2ubuntu1
parted	3.4-2build1
passwd	1:4.8.1-2ubuntu2.1
pastebinit	1.5.1-1ubuntu1
patch	2.7.6-7build2
pci.ids	0.0~2022.01.22-1
pciutils	1:3.7.0-6
perl	5.34.0-3ubuntu1.3
perl-base	5.34.0-3ubuntu1.3
perl-modules-5.34	5.34.0-3ubuntu1.3
perl-openssl-defaults:amd64	5build2
pinentry-curses	1.1.1-1build2
pkexec	0.105-33
pkg-config	0.29.2-1ubuntu3
plymouth	0.9.5+git20211018-1ubuntu3
plymouth-theme-ubuntu-text	0.9.5+git20211018-1ubuntu3
policykit-1	0.105-33
polkitd	0.105-33
powermgmt-base	1.36
procps	2:3.3.17-6ubuntu2.1
psmisc	23.4-2build3
publicsuffix	20211207.1025-1
python-apt-common	2.4.0ubuntu2
python3	3.10.6-1~22.04
python3-apport	2.20.11-0ubuntu82.5
python3-apt	2.4.0ubuntu2
python3-blinker	1.4+dfsg1-0.4
python3-cffi-backend:amd64	1.15.0-1build2
python3-commandnotfound	22.04.0
python3-cryptography	3.4.8-1ubuntu2.1
python3-dbus	1.2.18-3build1
python3-dev	3.10.6-1~22.04
python3-distro	1.7.0-1
python3-distro-info	1.1ubuntu0.1
python3-distupgrade	1:22.04.17
python3-distutils	3.10.8-1~22.04
python3-gdbm:amd64	3.10.8-1~22.04
python3-gi	3.42.1-0ubuntu1
python3-httplib2	0.20.2-2
python3-importlib-metadata	4.6.4-1
python3-jeepney	0.7.1-3
python3-jwt	2.3.0-1ubuntu0.2
python3-keyring	23.5.0-1
python3-launchpadlib	1.10.16-1
python3-lazr.restfulclient	0.14.4-1
python3-lazr.uri	1.0.6-2
python3-lib2to3	3.10.8-1~22.04
python3-minimal	3.10.6-1~22.04
python3-more-itertools	8.10.0-2
python3-netifaces:amd64	0.11.0-1build2
python3-newt:amd64	0.52.21-5ubuntu2
python3-oauthlib	3.2.0-1ubuntu0.1
python3-pip	22.0.2+dfsg-1ubuntu0.4
python3-pip-whl	22.0.2+dfsg-1ubuntu0.4
python3-pkg-resources	59.6.0-1.2ubuntu0.22.04.1
python3-problem-report	2.20.11-0ubuntu82.5
python3-pyparsing	2.4.7-1
python3-secretstorage	3.3.1-1
python3-setuptools	59.6.0-1.2ubuntu0.22.04.1
python3-setuptools-whl	59.6.0-1.2ubuntu0.22.04.1
python3-six	1.16.0-3ubuntu1
python3-software-properties	0.99.22.7
python3-systemd	234-3ubuntu2
python3-update-manager	1:22.04.10
python3-wadllib	1.3.6-1
python3-wheel	0.37.1-2ubuntu0.22.04.1
python3-yaml	5.4.1-1ubuntu1
python3-zipp	1.0.0-3
python3.10	3.10.12-1~22.04.3
python3.10-dev	3.10.12-1~22.04.3
python3.10-minimal	3.10.12-1~22.04.3
python3.10-venv	3.10.12-1~22.04.3
qt5-gtk-platformtheme:amd64	5.15.3+dfsg-2ubuntu0.2
qttranslations5-l10n	5.15.3-1
readline-common	8.1.2-1
rpcsvc-proto	1.4.2-0ubuntu6
rsync	3.2.7-0ubuntu0.22.04.2
rsyslog	8.2112.0-2ubuntu2.2
run-one	1.17-0ubuntu1
screen	4.9.0-1
sed	4.8-1ubuntu2
sensible-utils	0.0.17
session-migration	0.3.6
shared-mime-info	2.1-2
show-motd	3.10
snapd	2.58+22.04.1
software-properties-common	0.99.22.7
squashfs-tools	1:4.5-3build1
strace	5.16-0ubuntu3
sudo	1.9.9-1ubuntu2.4
systemd	249.11-0ubuntu3.11
systemd-hwe-hwdb	249.11.3
systemd-sysv	249.11-0ubuntu3.11
systemd-timesyncd	249.11-0ubuntu3.11
sysvinit-utils	3.01-1ubuntu1
tar	1.34+dfsg-1ubuntu0.1.22.04.2
tcpdump	4.99.1-3ubuntu0.1
telnet	0.17-44build1
tilix	1.9.4-2build1
tilix-common	1.9.4-2build1
time	1.9-0.1build2
tmux	3.2a-4ubuntu0.2
tnftp	20210827-4build1
tzdata	2023c-0ubuntu0.22.04.2
ubuntu-advantage-tools	29.4~22.04
ubuntu-keyring	2021.03.26
ubuntu-minimal	1.481.1
ubuntu-mono	20.10-0ubuntu2
ubuntu-release-upgrader-core	1:22.04.17
ubuntu-standard	1.481.1
ubuntu-wsl	1.481.1
ucf	3.0043
udev	249.11-0ubuntu3.11
ufw	0.36.1-4ubuntu0.1
unattended-upgrades	2.8ubuntu1
update-manager-core	1:22.04.10
update-motd	3.10
usb.ids	2022.04.02-1
usbutils	1:014-1build1
usrmerge	25ubuntu2
util-linux	2.37.2-4ubuntu3
uuid-dev:amd64	2.37.2-4ubuntu3
uuid-runtime	2.37.2-4ubuntu3
vim	2:8.2.3995-1ubuntu2.15
vim-common	2:8.2.3995-1ubuntu2.15
vim-runtime	2:8.2.3995-1ubuntu2.15
vim-tiny	2:8.2.3995-1ubuntu2.15
wayland-protocols	1.25-1
wget	1.21.2-2ubuntu1
whiptail	0.52.21-5ubuntu2
wsl-setup	0.2
x11-common	1:7.7+23ubuntu2
x11-utils	7.7+5build2
x11-xserver-utils	7.7+9build1
x11proto-dev	2021.5-1
xauth	1:1.1-1build2
xdg-user-dirs	0.17-2ubuntu4
xdg-utils	1.1.3-4.1ubuntu3~22.04.1
xkb-data	2.33-1
xorg-dev	1:7.7+23ubuntu2
xorg-sgml-doctools	1:1.11-1.1
xserver-xorg-dev	2:21.1.4-2ubuntu1.7~22.04.5
xtrans-dev	1.4.0-1
xxd	2:8.2.3995-1ubuntu2.15
xz-utils	5.2.5-2ubuntu1
zlib1g:amd64	1:1.2.11.dfsg-2ubuntu9.2
zlib1g-dev:amd64	1:1.2.11.dfsg-2ubuntu9.2
